标题,播放数,链接
感情变了质，等时间掩埋,513万,http://music.163.com/playlist?id=2215440866
T台节奏BGM•听完这单 谁还不是个超模咋地?,527万,http://music.163.com/playlist?id=2216189440
还记得你的梦想吗？别让你的梦只有想,589万,http://music.163.com/playlist?id=2219770152
毕业倒计时：时光里的伤心旅客,895万,http://music.163.com/playlist?id=2219538180
后来你哭了，想安慰却忘了早已换了身份,654万,http://music.163.com/playlist?id=2218171336
你的青春里有没有属于你的一首歌？,1716万,http://music.163.com/playlist?id=2201879658
夏天快要过去，牵你手买冰淇淋,526万,http://music.163.com/playlist?id=2199015597
致回不去的校园，致那美好的曾经,606万,http://music.163.com/playlist?id=2182683172
我最大的遗憾，是你的遗憾与我有关,859万,http://music.163.com/playlist?id=2201957752
100个悲伤的瞬间，有没有你的心酸？,848万,http://music.163.com/playlist?id=2179646633
节奏带感且时尚性感<100首Fashion BGM>,846万,http://music.163.com/playlist?id=2173059435
◢◤Avicii丨当一切都结束的时候再叫醒我,809万,http://music.163.com/playlist?id=2193725733
于时间的长廊上 你再也不等我,986万,http://music.163.com/playlist?id=2168895862
不怕汉子有文化，只怕他们有吉他,522万,http://music.163.com/playlist?id=2180739925
熬夜和想你，我都该戒掉了,1325万,http://music.163.com/playlist?id=2163517726
「毕业将至」我最想和你做的六十一件事。,550万,http://music.163.com/playlist?id=2178572409
"""多少人以朋友的名义爱着一个人? """,739万,http://music.163.com/playlist?id=2162749304
华语 | 我没有很想你，只是经常梦见你,529万,http://music.163.com/playlist?id=2172208421
2018公告牌全球百大DJ/电音制作人！,517万,http://music.163.com/playlist?id=2153498917
我爱你 第一句是假的 第二句也是假的,1342万,http://music.163.com/playlist?id=2144281377
求求你们了，让我睡会儿好不好,791万,http://music.163.com/playlist?id=2131958935
节奏带感且深邃性感 ️️这才系Deep House呀,934万,http://music.163.com/playlist?id=2139118830
歌词唱透了心声，回忆模糊了眼眸,1261万,http://music.163.com/playlist?id=2139324915
岁月如潮水，将我向老歌推,1302万,http://music.163.com/playlist?id=2139305008
台湾偶像剧黄金年代|记忆是阵阵花香,667万,http://music.163.com/playlist?id=2134421380
你不知道我多羡慕你特立独行的样子,517万,http://music.163.com/playlist?id=2154763064
【节奏控】那些一听就中毒的电音(纯音乐篇),512万,http://music.163.com/playlist?id=2120271089
生活，太需要这些节奏了,721万,http://music.163.com/playlist?id=2133712293
下次理发我要让我的Tony播放这个歌单,1379万,http://music.163.com/playlist?id=2120785460
以丧止丧 听一首把自己感动到哭的丧的歌,777万,http://music.163.com/playlist?id=2141039987
哼首欢快的歌 来拯救你的小确丧,736万,http://music.163.com/playlist?id=2144082923
「不老女声」你 是 窗 前 深 浅 白 月 光,762万,http://music.163.com/playlist?id=2121679666
暖春，寄一首阳光明媚的歌给你,590万,http://music.163.com/playlist?id=2114030515
再听这些歌时你已热泪盈眶，你曾是少年,608万,http://music.163.com/playlist?id=2128858806
致暗恋：陪伴是最怂的告白,634万,http://music.163.com/playlist?id=2127074784
华研国际热门音乐精选50首,1056万,http://music.163.com/playlist?id=2120700410
仙人抚我顶，结发受长生。,715万,http://music.163.com/playlist?id=2132009349
『無前奏 | 女嗓』开口即跪 心醉神迷.,1367万,http://music.163.com/playlist?id=2089907261
赶走阴霾 来一首欢快的欧美小调,833万,http://music.163.com/playlist?id=2084738832
古风精选 你眼中是江湖 我眼中是你,608万,http://music.163.com/playlist?id=2074681032
听说把糖放在枕头底下会做一个甜甜的梦,678万,http://music.163.com/playlist?id=2091484707
「偶像练习生」参赛曲目(Nine Percent),502万,http://music.163.com/playlist?id=2070073302
痛彻心扉地哭，然后刻骨铭心地记住,1002万,http://music.163.com/playlist?id=2059430694
只是想安静的 享受那份呼吸的感觉。o・°。,669万,http://music.163.com/playlist?id=2058497430
百首日系抒情，总有一首触动你的心,560万,http://music.163.com/playlist?id=2048970456
『曲作精选』细数古风圈原创作曲人❶,689万,http://music.163.com/playlist?id=2041615881
华语 | 听歌最怕应景，触景最怕生情,1522万,http://music.163.com/playlist?id=2042006896
2018全年抖腿指南，老铁你怕了吗？,1114万,http://music.163.com/playlist?id=2050704516
粤语女声 I 故事太多 没人会听你诉说,682万,http://music.163.com/playlist?id=2047424322
再深的感情也抵挡不住缘分的交错,738万,http://music.163.com/playlist?id=2036154174
爱情不卑微不施舍，别以为你是谁,512万,http://music.163.com/playlist?id=2015408138
偶像练习生_歌单合辑pick pick pick,531万,http://music.163.com/playlist?id=2070299050
愿还会有人，做个傻子陪你浪费一生,574万,http://music.163.com/playlist?id=2042205655
你说你很累，可谁又活得顺风顺水,810万,http://music.163.com/playlist?id=2055724092
妈妈，他的糖里有毒,1193万,http://music.163.com/playlist?id=2052760419
『致前任』我曾经很喜欢你 但也只能到这里,904万,http://music.163.com/playlist?id=2049424729
人这一辈子，最怕突然听懂了一首歌。,1276万,http://music.163.com/playlist?id=2020864493
适合努力学习英语时听的歌曲,1138万,http://music.163.com/playlist?id=2015397679
无前奏丨女声丨欧美丨三秒爱上,724万,http://music.163.com/playlist?id=2008935342
你18岁时喜欢的人，现在怎么样了？,598万,http://music.163.com/playlist?id=2063351734
